"locatie";"totaal";"geweld: totaal per 1000 inw+arb [promillage]";"bedrijging";"mishandeling";"openlijkGeweld";"overval";"straatroof";"zedenmisdrijf";"overig"
"Welgelegen, Den Hommel";"12";"5.0";"2";"2";"4";"0";"2";"2";"0"
"Oog in Al";"12";"2.5";"5";"4";"2";"0";"0";"0";"1"
"Halve Maan-zuid";"7";"4.2";"4";"3";"0";"0";"0";"0";"0"
"Halve Maan-noord";"14";"7.7";"6";"5";"2";"0";"1";"0";"0"
"Lombok-oost";"35";"12.1";"10";"18";"2";"2";"3";"0";"0"
"Leidseweg";"10";"6.2";"2";"2";"1";"0";"1";"2";"2"
"Lombok-west";"27";"4.3";"8";"12";"1";"0";"4";"0";"2"
"Ln v Nw-Guinea, Spinozaweg";"19";"3.6";"8";"8";"2";"0";"1";"0";"0"
"Nw Engell, Th. à Kempisplts";"36";"4.7";"13";"14";"3";"0";"1";"4";"1"
"Schepenbuurt, Cartesiusweg e.o.";"14";"3.6";"3";"6";"1";"0";"3";"0";"1"
"Bedrijvengebied Lage Weide";"15";"0.9";"4";"6";"3";"0";"0";"0";"2"
"Pijlsweerd-zuid";"32";"5.4";"12";"14";"1";"4";"0";"0";"1"
"Pijlsweerd-noord";"16";"6.3";"5";"4";"2";"0";"4";"0";"1"
"Nijenoord, Hoogstraat e.o.";"12";"5.4";"2";"5";"1";"0";"4";"0";"0"
"Ondiep";"27";"4.9";"7";"14";"2";"0";"1";"1";"2"
"2e Daalsebuurt e.o.";"32";"6.7";"15";"12";"4";"1";"0";"0";"0"
"Egelantierstr, Mariëndaalstr e.o.";"23";"5.9";"8";"10";"3";"0";"0";"1";"1"
"Julianapark e.o.";"27";"7.8";"13";"9";"1";"0";"3";"0";"1"
"Elinkwijk e.o.";"10";"1.8";"5";"2";"0";"1";"0";"2";"0"
"Pr.Bernhardpl e.o., Demkageb";"35";"7.3";"9";"17";"4";"0";"0";"2";"3"
"Geuzenwijk, De Driehoek";"16";"3.9";"5";"5";"0";"0";"2";"3";"1"
"Schaakbuurt e.o.";"28";"5.3";"7";"14";"3";"0";"2";"2";"0"
"Queeckhovenplein e.o.";"4";"3.4";"3";"1";"0";"0";"0";"0";"0"
"Zuilen-noord";"19";"4.6";"7";"7";"1";"0";"1";"3";"0"
"Taagdreef, Rubicondreef e.o.";"38";"6.5";"10";"18";"3";"0";"3";"2";"2"
"Donaudreef, Wolgadreef e.o.";"35";"6.5";"11";"16";"2";"1";"3";"0";"2"
"Zamenhofdreef e.o.";"37";"8.2";"11";"16";"4";"1";"2";"2";"1"
"Neckardreef e.o.";"44";"8.1";"15";"23";"0";"0";"2";"1";"3"
"Vechtzoom-zuid";"35";"5.4";"8";"12";"3";"0";"6";"4";"2"
"Vechtzoom-noord, Klopvaart";"24";"6.4";"11";"10";"0";"0";"1";"1";"1"
"Bedrijvengebied Overvecht";"14";"3.4";"3";"7";"0";"2";"1";"1";"0"
"Zambesidreef e.o.";"42";"7.9";"17";"18";"2";"1";"0";"3";"1"
"Tigrisdreef e.o.";"28";"5.5";"13";"10";"2";"1";"0";"1";"1"
"Poldergebied Overvecht";"3";"6.5";"1";"2";"0";"0";"0";"0";"0"
"Vogelenbuurt";"11";"2.2";"2";"6";"0";"1";"1";"1";"0"
"Lauwerecht";"24";"6.2";"13";"11";"0";"0";"0";"0";"0"
"Staatsliedenbuurt";"8";"4.2";"4";"2";"0";"0";"1";"1";"0"
"Tuinwijk-west";"4";"1.4";"2";"0";"0";"0";"1";"1";"0"
"Tuinwijk-oost";"10";"2.5";"4";"3";"2";"1";"0";"0";"0"
"Tuindorp, VanLieflandlaan-west";"5";"0.6";"0";"4";"0";"0";"1";"0";"0"
"Tuindorp-oost";"3";"0.8";"0";"2";"0";"0";"0";"1";"0"
"Voordorp, Voorveldsepolder";"15";"4.1";"7";"5";"1";"0";"0";"1";"1"
"Huizingalaan, K.Doormanlaan";"3";"2.1";"1";"1";"0";"0";"0";"1";"0"
"Zeeheldenbrt, Hengeveldstr. e.o.";"3";"0.7";"1";"2";"0";"0";"0";"0";"0"
"Wittevrouwen";"18";"2.1";"4";"9";"2";"0";"2";"0";"1"
"Buiten Wittevrouwen";"11";"1.3";"5";"5";"0";"0";"1";"0";"0"
"Oudwijk";"9";"1.3";"3";"1";"0";"0";"2";"1";"2"
"Abstede, Tolsteegsingel e.o.";"13";"4.4";"7";"3";"1";"0";"0";"1";"1"
"Sterrenwijk";"5";"5.5";"1";"3";"0";"0";"0";"1";"0"
"Rubenslaan e.o.";"20";"3.4";"6";"12";"0";"0";"1";"1";"0"
"Watervogelbuurt";"7";"2.0";"2";"2";"1";"0";"1";"1";"0"
"Lodewijk Napoleonplantsoen e.o.";"12";"9.2";"2";"7";"1";"0";"2";"0";"0"
"Maarschalkerweerd, Mereveld";"9";"17.1";"2";"5";"1";"0";"0";"0";"1"
"Schildersbuurt";"8";"1.8";"5";"3";"0";"0";"0";"0";"0"
"Wilhelminapark e.o.";"16";"4.4";"3";"8";"1";"0";"1";"3";"0"
"De Uithof";"17";"0.7";"3";"11";"1";"0";"0";"2";"0"
"Rijnsweerd";"7";"0.6";"3";"3";"0";"0";"1";"0";"0"
"Galgenwaard e.o.";"14";"1.7";"1";"7";"3";"1";"0";"2";"0"
"Domplein, Neude, Janskerkhof";"106";"14.6";"15";"57";"28";"0";"1";"3";"2"
"L.Elisabethstr, Mariaplaats e.o";"63";"10.2";"8";"34";"11";"0";"8";"1";"1"
"Hg Catharijne, NS, Jaarbeurs";"141";"4.5";"45";"60";"7";"0";"12";"13";"4"
"Wijk C";"50";"10.9";"20";"24";"0";"0";"3";"3";"0"
"Breedstr, Plompetorengracht e.o";"71";"16.3";"19";"38";"1";"0";"8";"4";"1"
"Nobelstraat e.o.";"36";"14.8";"4";"23";"5";"0";"3";"1";"0"
"Springweg e.o., Geertebrt";"12";"3.8";"3";"2";"2";"1";"4";"0";"0"
"Lange Nieuwstraat e.o.";"75";"15.4";"33";"34";"1";"1";"3";"3";"0"
"Nieuwegracht-Oost";"5";"2.6";"1";"2";"0";"0";"2";"0";"0"
"Bleekstraat e.o.";"6";"8.3";"1";"3";"0";"0";"0";"2";"0"
"Hooch Boulandt";"19";"3.2";"8";"10";"0";"1";"0";"0";"0"
"Lunetten-noord";"28";"4.5";"10";"15";"0";"0";"2";"0";"1"
"Lunetten-zuid";"42";"4.7";"18";"15";"2";"0";"3";"2";"2"
"Tolsteeg, Rotsoord";"16";"3.3";"3";"10";"3";"0";"0";"0";"0"
"Oud Hoograven-noord";"5";"1.4";"2";"3";"0";"0";"0";"0";"0"
"Oud Hoograven-zuid";"5";"1.9";"1";"2";"1";"0";"0";"1";"0"
"Bokkenbuurt";"6";"7.3";"1";"3";"0";"0";"0";"1";"1"
"Nieuw Hoograven-noord";"10";"3.9";"4";"5";"0";"0";"1";"0";"0"
"Nieuw Hoograven-zuid";"23";"5.6";"8";"12";"0";"0";"1";"1";"1"
"Dichterswijk";"13";"2.0";"3";"4";"2";"1";"1";"1";"1"
"Rivierenwijk";"55";"4.7";"16";"26";"7";"0";"2";"1";"3"
"Bedr-geb. Kanaleneiland-zuid";"11";"1.2";"6";"3";"0";"1";"1";"0";"0"
"Transwijk-zuid";"28";"4.3";"3";"11";"3";"1";"6";"4";"0"
"Transwijk-noord";"18";"2.3";"4";"9";"0";"0";"4";"0";"1"
"Kanaleneiland-zuid";"60";"5.8";"23";"25";"2";"0";"2";"3";"5"
"Kanaleneiland-noord";"62";"6.0";"17";"30";"5";"2";"3";"1";"4"
"Bedr-geb. De Wetering";"14";"2.5";"3";"10";"0";"0";"0";"0";"1"
"Terwijde-west";"12";"2.1";"5";"5";"0";"0";"2";"0";"0"
"Terwijde-oost";"13";"2.6";"4";"5";"1";"0";"0";"3";"0"
"Het Zand-west";"8";"1.3";"1";"5";"1";"0";"1";"0";"0"
"Het Zand-oost";"7";"2.5";"1";"3";"3";"0";"0";"0";"0"
"Leidsche Rijn Centrum";"4";"0.9";"2";"2";"0";"0";"0";"0";"0"
"Grauwaart";"2";"1.4";"1";"1";"0";"0";"0";"0";"0"
"Hoge Weide";"1";"2.8";"0";"1";"0";"0";"0";"0";"0"
"Leeuwesteyn";"0";"0.0";"0";"0";"0";"0";"0";"0";"0"
"Parkwijk-noord";"16";"4.1";"4";"7";"1";"0";"1";"2";"1"
"Parkwijk-zuid";"17";"3.8";"7";"8";"2";"0";"0";"0";"0"
"Langerak";"16";"2.7";"6";"8";"1";"1";"0";"0";"0"
"Rijnvliet";"1";"4.0";"1";"0";"0";"0";"0";"0";"0"
"Bedr-geb. Strijkviertel";"0";"0.0";"0";"0";"0";"0";"0";"0";"0"
"Bedr-geb. Papendorp";"8";"0.6";"4";"1";"1";"0";"1";"1";"0"
"Haarrijn";"0";"0.0";"0";"0";"0";"0";"0";"0";"0"
"Haarzuilens e.o./Parkweg-zuid";"1";"1.2";"0";"1";"0";"0";"0";"0";"0"
"Vleuten";"23";"2.7";"5";"15";"0";"0";"2";"0";"1"
"Máximapark";"7";"8.8";"2";"4";"1";"0";"0";"0";"0"
"Vleuterweide-west";"14";"2.1";"7";"7";"0";"0";"0";"0";"0"
"Vleuterweide-nrd, -oost, -centr";"17";"2.1";"5";"8";"0";"0";"2";"0";"2"
"Vleuterweide-zuid";"5";"1.1";"1";"3";"0";"0";"0";"1";"0"
"Veldhuizen";"32";"3.0";"14";"10";"3";"0";"1";"3";"1"
"De Meern-noord";"15";"2.4";"4";"8";"1";"0";"1";"1";"0"
"De Meern-zuid";"29";"3.8";"4";"17";"2";"0";"2";"1";"3"
"Oudenrijn";"7";"1.2";"4";"2";"0";"1";"0";"0";"0"
"Rijnenburg";"0";"0.0";"0";"0";"0";"0";"0";"0";"0"
